Country_Activity,Sex,Minutes
France-Personal care,Males,678
France-Personal care,Females,694
France-Employment,Males,213
France-Employment,Females,138
France-Study,Males,14
France-Study,Females,15
France-H.&fam.care,Males,142
France-H.&fam.care,Females,239
France-Leisure,Females,266
France-Leisure,Males,303
Germany-Personal care,Males,647
Germany-Personal care,Females,666
Germany-Employment,Males,207
Germany-Employment,Females,133
Germany-Study,Males,12
Germany-Study,Females,10
Germany-H.&fam.care,Males,137
Germany-H.&fam.care,Females,226
Germany-Leisure,Males,358
Germany-Leisure,Females,328
Italy-Personal care,Males,672
Italy-Personal care,Females,671
Italy-Employment,Males,261
Italy-Employment,Females,126
Italy-Study,Males,12
Italy-Study,Females,14
Italy-H.&fam.care,Males,99
Italy-H.&fam.care,Females,306
Italy-Leisure,Males,303
Italy-Leisure,Females,248
Spain-Personal care,Males,681
Spain-Personal care,Females,672
Spain-Employment,Males,224
Spain-Employment,Females,141
Spain-Study,Males,15
Spain-Study,Females,16
Spain-H.&fam.care,Males,124
Spain-H.&fam.care,Females,273
Spain-Leisure,Males,319
Spain-Leisure,Females,267
Norway-Personal care,Males,611
Norway-Personal care,Females,631
Norway-Employment,Males,225
Norway-Employment,Females,160
Norway-Study,Males,11
Norway-Study,Females,12
Norway-H.&fam.care,Males,157
Norway-H.&fam.care,Females,218
Norway-Leisure,Males,348
Norway-Leisure,Females,338
Finland-Personal care,Males,629
Finland-Personal care,Females,650
Finland-Employment,Males,193
Finland-Employment,Females,148
Finland-Study,Males,11
Finland-Study,Females,17
Finland-H.&fam.care,Males,145
Finland-H.&fam.care,Females,224
Finland-Leisure,Males,377
Finland-Leisure,Females,322
UK-Personal care,Males,623
UK-Personal care,Females,642
UK-Employment,Males,221
UK-Employment,Females,148
UK-Study,Males,12
UK-Study,Females,10
UK-H.&fam.care,Males,131
UK-H.&fam.care,Females,232
UK-Leisure,Males,316
UK-Leisure,Females,283